Root Domain,FB library,Google library,Location on Site,Primary Domain,Stripe First Detected,Technology Spend,Sales Revenue,Social,Employees,SKU,Company,Vertical,Tranco,Page Rank,Majestic,Umbrella,Telephones,Emails,X,Twitter,Facebook,LinkedIn,People,Verified Profiles,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,eCommerce Platform,CMS Platform,CRM Platform,Marketing Automation Platform,Payment Platforms,CRuX Rank,Cloudflare Rank,Agency,Hosting Provider,AI,Stripe,Stripe Last Detected,Exclusion,Compliance
nobsaisolutions.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=nobsaisolutions.com&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=nobsaisolutions.com,nobsaisolutions.com/*;nobsaisolutions.com,nobsaisolutions.com,2025-07-28,$555,,,,,,,,,,,,,,,,,,,,,,,2025-04-18,2025-10-05,2025-10-05,2025-10-05,,KaTeX,,,PayPal,,,,Vercel;Amazon,,Yes,2025-07-28,,
levytics.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=levytics.com&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=levytics.com,portal.levytics.com,levytics.com,2025-07-28,$0,,,,,,,,,,,,,,,,,,,,,,,2025-07-28,2025-10-06,2025-10-06,2025-10-06,,,,,Stripe,,,,Cloudflare Hosting,,Yes,2025-10-06,,
paxmail.cc,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=paxmail.cc&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=paxmail.cc,paxmail.cc,paxmail.cc,2025-07-27,$294,,,,,Studdock LLC,Technology And Computing,,"29,986,715",,,,support@paxmail.cc,,,,,,,,,,,2023-08-13,2025-08-04,2025-10-06,2025-10-06,,,,,Braintree;PayPal;Stripe;Stripe v3,,,,Render;OnRender,,Yes,2025-10-06,,
namiscuddleandco.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=namiscuddleandco.com&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=namiscuddleandco.com,namiscuddleandco.com,namiscuddleandco.com,2025-07-25,$350,,,,,,,,,,,,,,,,,,,,,,,2025-04-27,2025-10-06,2025-10-06,2025-10-06,,,,,Stripe,,,,Google Cloud;Cloudflare Hosting,,Yes,2025-07-25,,
matcalc.co.uk,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=matcalc.co.uk&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=matcalc.co.uk,matcalc.co.uk,matcalc.co.uk,2025-07-19,$0,,,,,,,,,,,,,,,,,,,,,,,2025-07-19,2025-10-06,2025-10-06,2025-10-06,,,,,Stripe,,,,Vercel;Cogeco Peer 1,,Yes,2025-10-06,,
lifepalettes.gallery,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=lifepalettes.gallery&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=lifepalettes.gallery,lifepalettes.gallery,lifepalettes.gallery,2025-07-03,$410,,,,,,Unknown,,,,,,portrait@lifepalettes.gallery;bharat@lifepalettes.gallery,,,facebook.com/lifepalettes.gallery,,,,,,,,2024-05-14,2025-10-07,2025-10-07,2025-10-07,,Sprout Studio,Bloom CRM,,Square;Stripe;Stripe v3,,,,Incapsula;Amazon,,Yes,2025-07-13,,
ditto-ai.net,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=ditto-ai.net&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=ditto-ai.net,ditto-ai.net,ditto-ai.net,2025-06-21,$971,,,,,,Unknown,,,,,,,x.com/ditto_hq,,facebook.com/ditto.ai.hq,linkedin.com/company/ditto-hq,,,,,,,2024-08-10,2025-10-07,2025-10-07,2025-10-07,,,,,Stripe,,,,Vercel;Amazon,,Yes,2025-10-07,,
jesusburgers.co,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=jesusburgers.co&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=jesusburgers.co,jesusburgers.co,jesusburgers.co,2025-06-18,$218,"$4,130",,,,Jesus Burgers,Religion And Spirituality,,"41,865,500",,,ph:+1-303-442-8671,,,,,,,,Broomfield,CO,80020,US,2023-10-24,2025-06-18,2025-10-05,2025-10-05,Squarespace Add to Cart,Squarespace;Subsplash,,,Stripe,,,,Squarespace Hosted,,Yes,2025-06-18,,
homy100.online,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=homy100.online&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=homy100.online,homy100.online/*;homy100.online,homy100.online,2025-05-26,$0,,,,,,,,,,,,,,,,,,,,,,,2025-05-26,2025-09-15,2025-09-15,2025-09-15,,Wuilt,,,American Express;MasterCard;PayPal;Stripe;Visa,,,,Amazon,,Yes,2025-09-15,,
darkrest.online,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=darkrest.online&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=darkrest.online,darkrest.online,darkrest.online,2025-05-19,$593,,,,,Darkrest.Online Developed collaboratively,Unknown,,"3,061,116",,,,,,,,,,,,,,,2024-04-21,2025-08-29,2025-10-09,2025-10-09,,,,,Stripe,Top 10m,,,Cloudflare Hosting,,Yes,2025-08-29,,
teachboard.ai,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=teachboard.ai&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=teachboard.ai,app.teachboard.ai/*;app.teachboard.ai,teachboard.ai,2025-05-11,$306,,,,,,Unknown,,,,,,,,,,,,,,,,,2025-04-29,2025-08-28,2025-10-05,2025-10-05,,,,HighLevel,PayPal;Stripe;Stripe v3,,,,Vercel;Google Cloud;Cloudflare Hosting,,Yes,2025-05-11,,
ohfar.am,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=ohfar.am&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=ohfar.am,app.ohfar.am/*;staging.ohfar.am/*,ohfar.am,2025-05-08,"$1,178",,,,,OHFAR,Unknown,,,,,,,,,,,,,,,,AM,2025-09-20,2025-10-06,2025-10-10,2025-10-10,,WordPress;WordPress 6.8,,,Stripe;Stripe v3,,,,Unified Layer;Contabo,,Yes,2025-10-07,,
traditionschickenal.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=traditionschickenal.com&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=traditionschickenal.com,traditionschickenal.com,traditionschickenal.com,2025-05-06,$77,,,,,,,,,,,,,,,,,,,,,,,2025-05-06,2025-07-26,2025-10-05,2025-10-05,,,,,Stripe;Stripe v3,,,,Vercel;Amazon;Cogeco Peer 1;Cloudflare Hosting,,Yes,2025-07-26,,
emploitic.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=emploitic.com&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=emploitic.com,emploitic.com,emploitic.com,2025-05-05,"$2,897",,"5,189",,,espacerecruteur,Technology And Computing,"168,000","1,243,662","544,188",,,info@emploitic.com,,twitter.com/_emploitic_,facebook.com/emploiticcom,linkedin.com/company/emploitic.com,,,,,,,2024-05-03,2025-10-08,2025-10-10,2025-10-10,,,,Brevo,Visa,Top 50m,Top 500k,,,,Yes,2025-10-08,,
tuttofrescoil.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=tuttofrescoil.com&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=tuttofrescoil.com,tuttofrescoil.com/*;tuttofrescoil.com,tuttofrescoil.com,2025-05-01,$77,,,,,,,,,,,,,,,,,,,,,,,2024-05-14,2025-10-06,2025-10-06,2025-10-06,,,,,PayPal;Stripe;Stripe v3,,,,Vercel;Amazon;Cogeco Peer 1,,Yes,2025-10-06,,
umiforesthills.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=umiforesthills.com&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=umiforesthills.com,umiforesthills.com/*;umiforesthills.com,umiforesthills.com,2025-05-01,$77,,,,,,Food And Drink,,,,,ph:+1-718-261-3483,,,,,,,,Forest Hills,NY,11375,US,2025-05-01,2025-10-07,2025-10-07,2025-10-07,,,,,Stripe;Stripe v3,,,,Vercel;Amazon;Cogeco Peer 1,,Yes,2025-10-07,,
thelatentelement.studio,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=thelatentelement.studio&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=thelatentelement.studio,thelatentelement.studio,thelatentelement.studio,2025-04-29,$0,,,,,,,,,,,,,,,,,,,,,,,2025-04-29,2025-10-06,2025-10-06,2025-10-06,,,,,,,,,Vercel;Amazon;Cogeco Peer 1,,,2025-04-29,,
datastacklabs.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=datastacklabs.com&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=datastacklabs.com,datastacklabs.com,datastacklabs.com,2025-04-29,$135,,,,,DDTMC LLC,Unknown,,,,,,,,,,,,,,,,,2025-04-29,2025-10-06,2025-10-06,2025-10-06,,Plasmic,,,,,,,Vercel;Cloudflare Hosting;Amazon,,,2025-04-29,,
suwe-kosmetik.de,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=suwe-kosmetik.de&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=suwe-kosmetik.de,suwe-kosmetik.de,suwe-kosmetik.de,2025-04-28,$302,"$1,798",,,,,,,,,,,,,,,,,,,,,,2022-09-20,2025-08-11,2025-10-06,2025-10-06,Sylius,,,,Bancontact;Klarna;MasterCard;PayPal;Stripe;Visa,,,,,,Yes,2025-10-06,,
cuneiform.org,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=cuneiform.org&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=cuneiform.org,cuneiform.org,cuneiform.org,2025-04-27,$0,,,,,,Technology And Computing,,"70,921,421",,,,,x.com/cuneiform,,,,,,,,,,2024-09-29,2025-10-08,2025-10-12,2025-10-12,,Framer App;Framer Sites,,,,,,,Amazon;AWS Global Accelerator;Google;Google Cloud,,,2025-04-27,,
